サービス種類,市区町村名,団体コード,事業所名,法人名,法人種別,事業所番号,住所,電話番号,指定年月日,事業所種別,利用可能曜日,定員,公式サイト,緯度,経度
訪問介護,葛飾区,13122,ヘルパーステーション　けいあい,有限会社袴田ケアサービス,営利法人,1372202406,東京都葛飾区柴又７－５－３２　シャトー山田１０１,03-5668-2988,2003-07-01,,平日,,,35.758230999999990,139.876273600000000
訪問介護,葛飾区,13122,ファミリーケアあおと,社会福祉法人すこやか福祉会,社会福祉法人（社協以外）,1372202604,東京都葛飾区青戸３－１２－４フルキビル１階,03-5650-3885,2004-01-01,,平日・土曜日・日曜日・祝日,5,http://www.sukoyaka-fu.or.jp,35.747659277503440,139.848949199861180
訪問介護,葛飾区,13122,ヘルパーステーション末広,有限会社スマイル企画,営利法人,1372202695,東京都葛飾区金町４－２４－５アンビル１階,03-3608-3871,2004-04-01,,平日・土曜日・日曜日・祝日,,,35.764380400000000,139.863235300000040
訪問介護,葛飾区,13122,きらら介護サービス,株式会社グッドスタッフ,営利法人,1372203198,東京都葛飾区小菅３－５－１４,03-5650-5226,2005-12-01,,平日・土曜日・日曜日・祝日,,http://www.kirara-ds.com/callcare.html,35.755503500000010,139.831388800000000
訪問介護,葛飾区,13122,山手ケアサービス葛飾,山手タクシー株式会社,営利法人,1372203339,東京都葛飾区堀切１－３８－１１,03-5671-0058,2005-10-01,,平日,,,35.742364300000000,139.832874200000000
訪問介護,葛飾区,13122,訪問介護あいちぐら,有限会社　結い,営利法人,1372203610,東京都葛飾区高砂８－２５－１２－１０５,03-5648-2103,2006-04-01,,平日・土曜日・日曜日・祝日,5,https://www.aitigura.net,35.752898500000000,139.868821600000050
訪問介護,葛飾区,13122,セントケア立石,セントケア東京株式会社,営利法人,1372203909,東京都葛飾区立石６－１３－２小山ビル１階,03-5698-2945,2007-04-01,,平日・土曜日・日曜日・祝日,15,http://www.saint-care.com/tokyo/,35.743939300000000,139.849659500000000
訪問介護,葛飾区,13122,ケアサービスきりん,株式会社リガード,営利法人,1372204071,東京都葛飾区堀切２－５５－１５,03-6662-8452,2007-11-01,,平日・土曜日・日曜日・祝日,80,http://regard2007.com/,35.745445623305436,139.828286511635470
訪問介護,葛飾区,13122,フタバ介護サービス,株式会社フタバ介護サービス,営利法人,1372204329,東京都葛飾区四つ木４－２８－１１,03-5698-2841,2008-09-01,,平日・土曜日,,,35.739558600000010,139.835595199999940
訪問介護,葛飾区,13122,介護の要さん,九峰合資会社介護の要さん,営利法人,1372204378,東京都葛飾区南水元１－２８－６南水元第４アパート３０２,03-3600-2240,2009-01-01,,平日・土曜日・日曜日・祝日,,,35.775385799999990,139.861695999999970
訪問介護,葛飾区,13122,みやびサポート,みやびサポート株式会社,営利法人,1372204444,東京都葛飾区高砂３－２２－２,03-3672-1139,2009-04-01,,平日・土曜日・日曜日・祝日,70,http://miyabi-support.jp,35.749285100000000,139.869157900000000
訪問介護,葛飾区,13122,癒しのヘルパーステーション葛飾,株式会社リエイケア,営利法人,1372204501,東京都葛飾区奥戸２－１６－７米山ビル３０１号室,03-5672-2642,2009-06-01,,平日・土曜日・日曜日・祝日,,http://www.riei.co.jp/communicare/,35.735728500000000,139.856470800000000
訪問介護,葛飾区,13122,喜楽里・けあ,株式会社喜楽里・けあ,営利法人,1372204774,東京都葛飾区立石４－７－１－１０２号,03-5671-3955,2010-02-01,,,,,,
訪問介護,葛飾区,13122,きらら介護サービス　亀有,株式会社グッドスタッフ,営利法人,1372205102,東京都葛飾区青戸８－９－１６,03-5650-2735,2011-05-01,,平日・土曜日・祝日,,https://kirara-kaigo.net/office/kameari/,35.756260799999990,139.851846300000030
訪問介護,葛飾区,13122,ヘルパーステーション　櫻舞,株式会社櫻舞,営利法人,1372205565,東京都葛飾区亀有１－２２－２２,03-3602-7222,2012-09-01,,平日・土曜日・日曜日・祝日,80,http://park10.wakwak.com/~hirari/,35.758850600000000,139.846812000000000
訪問介護,葛飾区,13122,ハーツ・ケア,特定非営利活動法人ホッとスマイル,非営利法人（NPO）,1372205805,東京都葛飾区西亀有３－１７－４パークハイム４０４号,03-6240-7841,2013-02-01,,平日,,,35.760175000000000,139.838614899999980
訪問介護,葛飾区,13122,アースサポート新小岩,アースサポート株式会社,営利法人,1372206076,東京都葛飾区新小岩１－３５－１１,03-3652-5111,2013-07-01,,平日・土曜日・日曜日・祝日,,https://www.earthsupport.co.jp/,35.714169500000000,139.859677299999930
訪問介護,葛飾区,13122,ケア　ひかり,有限会社ひかりケアサービス,営利法人,1372206225,東京都葛飾区堀切２－３３－３林コーポ１０２,03-3697-1202,2013-11-01,,平日・土曜日・日曜日・祝日,10,http://hp.kaipoke.biz/fzg/,35.744417155806060,139.826491016018800
訪問介護,葛飾区,13122,ミアヘルサ　ホームヘルプ東新小岩,ミアヘルサ株式会社,営利法人,1372206415,東京都葛飾区東新小岩４－１１－１０,03-5654-7465,2014-04-01,,平日・土曜日・日曜日・祝日,45,https://www.merhalsa.jp,35.725871200000000,139.861801400000000
訪問介護,葛飾区,13122,訪問介護事業所あかつき,株式会社曉,営利法人,1372206696,東京都葛飾区高砂２－１－２６リバーサイドふじ３０２,03-6458-0935,2014-09-01,,平日・土曜日・日曜日・祝日,,https://k-akatsuki.com,35.746288300000010,139.864075100000040
訪問介護,葛飾区,13122,アシアム,株式会社ＡＳＩＡＭ,営利法人,1372207108,東京都葛飾区四つ木１－３１－３秋本マンション１階１－Ｄ,03-5654-6354,2015-08-01,,平日・土曜日・日曜日・祝日,117,https://www.asiam.rocks/,35.735691600000010,139.859356100000000
訪問介護,葛飾区,13122,ケアサービス新小岩,株式会社ソラスト,営利法人,1372207389,東京都葛飾区東新小岩８－８－１１　１階,03-5671-2026,2016-02-01,,平日・土曜日・日曜日・祝日,,http://www.solasto.co.jp/index.html,35.719799355043470,139.856756500594310
訪問介護,葛飾区,13122,訪問介護事業所ハートフル葛飾,株式会社ボンボヤージュ,営利法人,1372207587,東京都葛飾区高砂２－２－７ハウスオガワ２０１,03-6657-8718,2016-12-01,,平日・土曜日・日曜日・祝日,1,,35.746604900000000,139.864888899999980
訪問介護,葛飾区,13122,訪問介護　スモールステップ,株式会社ｓｍａｌｌ　ｓｔｅｐ,営利法人,1372207702,東京都葛飾区青戸１－１８－５エスポアール青砥１０１,03-5875-7708,2017-04-01,,平日・土曜日・日曜日・祝日,,https://smallstep.co.jp,35.742644400000000,139.855920400000060
訪問介護,葛飾区,13122,ケアステーションスマイル,株式会社スマイル,営利法人,1372207769,東京都葛飾区四つ木１－３３－２たちばなコーポ２０１,03-6657-7217,2017-05-01,,平日・土曜日・日曜日・祝日,,,35.734443721822510,139.835410806416700
訪問介護,葛飾区,13122,ＳＯＭＰＯケア　葛飾　訪問介護,ＳＯＭＰＯケア株式会社,営利法人,1372208049,東京都葛飾区青戸３－３３－１４サンプラザビル６階,03-3602-3890,2018-07-01,,平日・土曜日・日曜日・祝日,50,https://www.sompocare.com/service/zaitaku/kaigo/Z000639,35.746870599999994,139.855839000000030
訪問介護,葛飾区,13122,グランフレア金町,株式会社グランフレア金町,営利法人,1372208163,東京都葛飾区金町５－２４－１８,03-5876-0888,2019-02-01,,平日・土曜日・日曜日・祝日,,https://grand-flare.com,35.765899500000000,139.868746000000000
訪問介護,葛飾区,13122,ケアリッツ青砥,株式会社ケアリッツ・アンド・パートナーズ,営利法人,1372208320,東京都葛飾区青戸５－２７－８ＡＯ５ハウス１階事務所,03-6662-6950,2020-01-01,,平日・土曜日・日曜日・祝日,,https://www.careritz.co.jp/station/branch/aoto/,35.750583445871940,139.854868961342220
訪問介護,葛飾区,13122,ニチイライフケア柴又ヘルパーステーション,株式会社ニチイケアパレス,営利法人,1372208387,東京都葛飾区柴又７－１３－８,03-6458-9645,2020-05-01,,平日・土曜日・日曜日・祝日,,https://ohisamahouse.com/shibamata/,35.759928300000000,139.878361400000000
訪問介護,葛飾区,13122,ケアリッツ新小岩,株式会社ケアリッツ・アンド・パートナーズ,営利法人,1372208486,東京都葛飾区新小岩２－１０－５小島ビル１階,03-5879-5980,2020-10-01,,平日・土曜日・日曜日・祝日,,https://www.careritz.co.jp/station/branch/sinkoiwa/,35.715802400215920,139.860785106745900
訪問介護,葛飾区,13122,アローズケア訪問介護事業所,株式会社アローズケア,営利法人,1372208643,東京都葛飾区宝町２－１２－８フラワーパレス参番館１０１,09091469068,2021-03-01,,平日,,https://www.arrows1129.com,35.745110200000000,139.835579200000000
訪問介護,葛飾区,13122,すまいるらいふけあ,株式会社すまいるらいふけあ,営利法人,1372208718,東京都葛飾区亀有５－３３－４メゾン・ド・カメアリ２Ｆ－Ａ,03-3628-8377,2021-08-01,,平日・土曜日,,,35.766744900000000,139.846989400000000
訪問介護,葛飾区,13122,ウィズ・ユーサマー訪問介護ステーション,株式会社夏,営利法人,1372208783,東京都葛飾区小菅２－２２－１０　１階,03-5654-6977,2022-04-01,,平日・土曜日・日曜日・祝日,,,35.750952400000010,139.827677000000020
訪問介護,葛飾区,13122,ウィズ・ユー南水元訪問介護事業所,株式会社Ｂｅｌｌｉｓ,営利法人,1372208825,東京都葛飾区南水元４－２－１２ロワールハイツ１０１,03-6802-6253,2022-05-01,,,,,,
訪問介護,葛飾区,13122,訪問介護　ゆにいく,株式会社ＷＨＥＥＬＦＲＯＮＴＩＥＲ,営利法人,1372208916,東京都葛飾区青戸１－１５－２メゾン藤１０３号室,03-6662-8930,2022-09-01,,平日・土曜日・日曜日・祝日,,https://unique-kaigo.jp,35.743032700000000,139.856234200000000
訪問介護,葛飾区,13122,ヘルパーステーションあろはな,合同会社Ｎ’ｓ・ｃｏｍｐａｎｙ,営利法人,1372208932,東京都葛飾区青戸２－７－１,03-6662-8160,2022-10-01,,平日・土曜日・日曜日・祝日,,,35.746796800000000,139.857296300000000
訪問介護,葛飾区,13122,しらゆりステーション,株式会社創信,営利法人,1372209120,東京都葛飾区堀切５－２１－１１－１Ｆ亀山マンション,03-5654-7364,2023-05-01,,平日・土曜日,,,35.748878000000000,139.828676400000000
訪問介護,葛飾区,13122,ケアステーションきらら高砂,スターツケアサービス株式会社,営利法人,1372209187,東京都葛飾区高砂３－１１－１４ステーションハイツ高砂１０４,03-5612-6310,2023-09-01,,平日・土曜日・祝日,,https://www.starts-care.jp/,35.750389000000000,139.867726900000000
訪問介護,葛飾区,13122,訪問介護　一瞬,一般社団法人山友会,社団・財団,1372209237,東京都葛飾区亀有５－４５－１クロスビル４０３,03-5856-1440,2023-11-01,,平日,,,35.767424700000020,139.849167800000000
訪問介護,葛飾区,13122,えす訪問介護,株式会社エルデロ,営利法人,1372209286,東京都葛飾区亀有５－２８－１１ジュネスサンプレイス３０１号室,03-5697-8130,2024-03-01,,平日・土曜日・日曜日・祝日,184,,35.768388000000000,139.847228300000000
訪問介護,葛飾区,13122,ソワン訪問介護センター２,株式会社ＳＯＩＮ,営利法人,1372209351,東京都葛飾区青戸３－３７－３サンティージュビル　３号室,07064000278,2024-11-01,,平日,,,35.745687300000000,139.855306600000000
訪問介護,葛飾区,13122,ケアサービス３９,アイ・フィールド株式会社,営利法人,1372209427,東京都葛飾区柴又１－３７－２,03-5876-5351,2025-01-01,,平日,,,35.756038800000006,139.872651900000000
訪問介護,葛飾区,13122,鶴亀訪問介護くをん,株式会社達富,営利法人,1372209492,東京都葛飾区新小岩３－１２－８ヘルシーハイツ１０１,03-5607-7033,2025-04-01,,平日・土曜日・日曜日・祝日,,https://www.tatsuto.jp/,35.717547600000000,139.865194300000000
訪問介護,葛飾区,13122,ヘルパーステーションリボーン東京,株式会社ｒｅｂｏｒｎ,営利法人,1372209690,東京都葛飾区新小岩１－２５－１４セレクトーン４０３号室,05088936748,2026-05-01,,,,,,
訪問介護,葛飾区,13122,水元ファインライフ,医療法人社団憲昇会,医療法人,1372209724,東京都葛飾区水元３－１５－８大盛工業本社ビル１Ｆ,03-3627-8151,2026-06-01,,,,,,
訪問介護,葛飾区,13122,まちの介護ステーション,株式会社ユーニック,営利法人,1372209773,東京都葛飾区西水元２－２１－１６,03-5876-5738,2026-08-01,,,,,,
訪問介護,江戸川区,13123,ふれあいプラザ　ラビット,有限会社ラビット,営利法人,1370200436,東京都江戸川区西葛西３－２２－１５,03-5675-3677,2000-11-01,,平日・土曜日・日曜日・祝日,,http://www.rabbit-jp.net,35.666844400000000,139.859297800000030
訪問介護,江戸川区,13123,ロマン交通　らくだサービス,企業組合ロマン交通,その他法人,1370402081,東京都江戸川区東瑞江２－１２－２０,03-6861-4653,2003-06-01,,平日,,https://www.rakuda2001.com/,35.687656500000000,139.895945499999980
訪問介護,江戸川区,13123,クローバー訪問介護えどがわ,株式会社日本アメニティライフ協会,営利法人,1372209393,東京都江戸川区平井６－４７－１３セルス有阪５階,03-3611-5259,2024-12-01,,平日・土曜日・日曜日・祝日,,,35.740277104321570,139.859236421426400
訪問介護,江戸川区,13123,有限会社　しんみケアーセンター,有限会社しんみケアーセンター,営利法人,1372300234,東京都江戸川区西葛西６－１５－２０アイビーハイツ４０６,03-3878-0345,1999-10-01,,平日・土曜日・日曜日・祝日,240,https://shinmicsnishikasai.wixsite.com/shinmics2,35.664050300000000,139.860750599999960
訪問介護,江戸川区,13123,フォービスライフ西葛西,フォービスライフ株式会社,営利法人,1372300796,東京都江戸川区西葛西６－２６－６クレスティ関口１Ｆ,03-3869-1260,2000-03-01,,平日・土曜日・日曜日・祝日,,https://cs-forvice.com/,35.663070984793210,139.862782072991600
訪問介護,江戸川区,13123,有限会社　さわやかケアサービスセンター,有限会社さわやかケアサービスセンター,営利法人,1372301091,東京都江戸川区西小岩１－１９－２４,03-3673-8080,2000-06-01,,平日,,,35.733182600000000,139.879587900000000
訪問介護,江戸川区,13123,なぎさ和楽苑訪問介護,社会福祉法人東京栄和会,社会福祉法人（社協以外）,1372301604,東京都江戸川区西葛西８－１－１,03-3675-1818,2002-04-01,,平日・土曜日・日曜日・祝日,,http://www.tokyoeiwakai.or.jp,35.655079100000000,139.859420700000000
訪問介護,江戸川区,13123,いきいきサポート,ワーカーズいきいきサポート労働者協同組合,その他法人,1372301810,東京都江戸川区鹿骨４－９－６,03-3677-8180,2002-06-01,,平日・土曜日・祝日,,http://www.ikiikisupport.org/,35.715708266739330,139.887954110575970
訪問介護,江戸川区,13123,永仁介護サービス　瑞江支社,株式会社永仁サービス,営利法人,1372302131,東京都江戸川区春江町３－５１－４,03-3698-4441,2003-01-01,,平日・土曜日・日曜日・祝日,10,http://www.eijin-service.co.jp,35.697253700000030,139.891288499999970
訪問介護,江戸川区,13123,あおぞら介護サービス,有限会社大千,営利法人,1372302222,東京都江戸川区船堀六丁目１１番９号　KODAヒルズ１階,03-5878-3033,2003-03-01,,平日・土曜日・日曜日・祝日,10,http://www.daisen-aozora.com,35.678851700000000,139.866630300000000
訪問介護,江戸川区,13123,泉介護サービス,有限会社　泉介護サービス,営利法人,1372302297,東京都江戸川区鹿骨四丁目２６番８号,03-5664-2620,2003-05-01,,平日・土曜日・日曜日・祝日,20,http://www.izumi-kaigo.jp/,35.713276400000000,139.891029500000060
訪問介護,江戸川区,13123,アースサポート江戸川,アースサポート株式会社,営利法人,1372302438,東京都江戸川区船堀６－４－８,03-5696-9211,2003-07-01,,平日・土曜日・日曜日・祝日,,https://www.earthsupport.co.jp,35.679990500000000,139.866958100000030
訪問介護,江戸川区,13123,ケア２１　平井,株式会社ケア２１,営利法人,1372302503,東京都江戸川区平井５－２１－３ガーデン欣志２階,03-5631-5201,2003-09-01,,平日・土曜日・日曜日・祝日,,http://www.care21.co.jp,35.707680700000000,139.841979400000000
訪問介護,江戸川区,13123,虹の丘ケアセンター,有限会社虹の丘ケアセンター,営利法人,1372302685,東京都江戸川区西葛西四丁目2番地４７－９０２号,03-3686-0897,2004-01-01,,平日,1,,35.668847000000010,139.861261400000000
訪問介護,江戸川区,13123,ライフアンドケア株式会社　いきいき介護サービス,ライフアンドケア株式会社,営利法人,1372302933,東京都江戸川区中葛西７－１７－１９リラ・ポルト１階,03-5679-6321,2004-07-01,,平日・土曜日・日曜日・祝日,,,35.654847399999994,139.866824700000000
訪問介護,江戸川区,13123,日本リック訪問介護江戸川事業所,日本リック株式会社,営利法人,1372303287,東京都江戸川区松島４－３２－６,03-5607-7246,2004-11-01,,平日・土曜日・日曜日・祝日,10,http://www.rickcare.jp/,35.713505700000000,139.858713500000020
訪問介護,江戸川区,13123,グッドフェース江戸川,有限会社グッドフェース,営利法人,1372303758,東京都江戸川区船堀５－１１－１サンライトパレス船堀１０１,03-5675-2077,2005-07-01,,平日・土曜日・日曜日・祝日,,,35.680871100000000,139.869866099999970
訪問介護,江戸川区,13123,特定非営利活動法人　はなみずき,特定非営利活動法人はなみずき,非営利法人（NPO）,1372303949,東京都江戸川区船堀３－４－８－１０１ル・タン・テール船堀,03-5679-0966,2005-11-01,,平日・土曜日・日曜日・祝日,,,35.682203900000000,139.863955499999970
訪問介護,江戸川区,13123,江東園ホームヘルパーステーションつばき,社会福祉法人江東園,社会福祉法人（社協以外）,1372304111,東京都江戸川区春江町２－５－１５,03-5636-6211,2006-04-01,,平日・土曜日・日曜日・祝日,,http://www.kotoen.or.jp/,35.700761400000000,139.887083100000040
訪問介護,江戸川区,13123,ファミリーケア船堀,社会福祉法人すこやか福祉会,社会福祉法人（社協以外）,1372304301,東京都江戸川区東小松川４－４５－１船堀ハイツ１階,03-6231-4615,2006-08-01,,平日・土曜日・日曜日・祝日,,http://www.sukoyaka.fu.or.jp/,35.687746700000000,139.864865900000000
訪問介護,江戸川区,13123,ラック平井,株式会社ラックコーポレーション,営利法人,1372304707,東京都江戸川区平井３－１３－１０,03-3682-4441,2007-11-01,,平日・土曜日・日曜日・祝日,,http://www.lac-corp.jp/,35.704081000000000,139.841626799999970
訪問介護,江戸川区,13123,ケアステーションきらら船堀,スターツケアサービス株式会社,営利法人,1372305068,東京都江戸川区船堀３－１４－１０－４０３,03-5667-3788,2009-04-01,,平日・土曜日・日曜日・祝日,140,http://www.starts.co.jp/s-careservice/,35.680174599999980,139.865825999999970
訪問介護,江戸川区,13123,トップ介護サービス,株式会社ツートップ,営利法人,1372305373,東京都江戸川区西小岩４－９－３キャッスルアズマ１０５,03-6458-0235,2009-12-01,,平日・土曜日・祝日,,,35.738410500000000,139.880188099999940
訪問介護,江戸川区,13123,ケア２１　江戸川,株式会社ケア２１,営利法人,1372306157,東京都江戸川区西小岩４－１－２０千成ビル１階店舗,03-5889-8321,2011-09-01,,平日・土曜日・日曜日・祝日,,,35.735399876090064,139.881068055339850
訪問介護,江戸川区,13123,ＡＬＳＯＫケアステーション小岩,ＡＬＳＯＫ介護株式会社,営利法人,1372306454,東京都江戸川区西小岩５－１１－１５吉永ビル１階,03-5889-5180,2012-04-01,,平日・土曜日・日曜日・祝日,,,35.736955909958610,139.884281773819030
訪問介護,江戸川区,13123,ヒノデ第一交通株式会社,ヒノデ第一交通株式会社,営利法人,1372306876,東京都江戸川区中央３－１６－３,03-3655-4611,2013-03-01,,平日・土曜日・日曜日・祝日,,http://www.daiichi-koutsu.co.jp/,35.713870100000000,139.872550899999960
訪問介護,江戸川区,13123,ホームヘルプサービス　ソラスト小岩,株式会社ソラスト,営利法人,1372307130,東京都江戸川区北小岩６－７－７伊藤ビル１０１,03-5612-0086,2013-08-01,,平日・土曜日・日曜日・祝日,,https://solasto-kaigo.com/service/homecare/koiwa,35.744238400000000,139.883631899999950
訪問介護,江戸川区,13123,エルケア小岩ケアセンター,エルケア株式会社,営利法人,1372307403,東京都江戸川区東小岩６－１０－２風間ビル１０１号室,03-6657-8672,2014-01-01,,平日・土曜日・日曜日・祝日,,http://www.l-care.jp,35.734236520495990,139.887169219358600
訪問介護,江戸川区,13123,ベストケア,合同会社ベストケア,営利法人,1372307551,東京都江戸川区西一之江３－２－２０－３０２,03-6231-5345,2014-03-01,,平日・土曜日・日曜日・祝日,40,,35.694610899999980,139.875308500000000
訪問介護,江戸川区,13123,みつばちケア,株式会社スクエア,営利法人,1372307908,東京都江戸川区中葛西１－４２－１新見ハイツⅡ－１０２,03-6808-2458,2014-08-01,,平日・祝日,120,http://www.square-izm.com/,35.671886200000000,139.871971799999980
訪問介護,江戸川区,13123,わだつみヘルパーステーション,株式会社スクーデリア,営利法人,1372308278,東京都江戸川区瑞江２－２２－５グリーンハウス下鎌田　１階－Ｄ室,03-5243-9208,2015-04-01,,平日・土曜日・日曜日・祝日,,http://wadatsumi-s.com/,35.687510400000010,139.892416700000000
訪問介護,江戸川区,13123,ケアリッツ葛西,株式会社ケアリッツ・アンド・パートナーズ,営利法人,1372308328,東京都江戸川区西葛西５－７－８第２ドミール森田１階,03-6808-3851,2015-06-01,,平日・土曜日・日曜日・祝日,,https://www.careritz.co.jp/station/branch/kasai/,35.665323268457314,139.861384161342240
訪問介護,江戸川区,13123,東京海上日動みずたま介護ＳＴ一之江,東京海上日動ベターライフサービス株式会社,営利法人,1372308773,東京都江戸川区西一之江３－１２－３０シンコーポレーションビル２階,03-5678-8622,2016-07-01,,平日・土曜日・日曜日・祝日,120,http://www.tnbls.co.jp/mizutama/,35.692700599999990,139.875768000000000
訪問介護,江戸川区,13123,Ｒａｋｕｅ葛西,株式会社ＫＴＭ,営利法人,1372308831,東京都江戸川区西葛西３－１４－３遠藤ビル２Ｆ,03-4283-2745,2016-10-01,,平日・土曜日・日曜日・祝日,3,https://www.rakue.jp,35.665191600000000,139.856650800000000
訪問介護,江戸川区,13123,コクアプランニング,株式会社コクアプランニング,営利法人,1372308955,東京都江戸川区東葛西５－１２－１５ビジネスゲート葛西５Ｆ－Ａ号室,03-6456-0893,2017-03-01,,平日・土曜日・日曜日・祝日,,https://kokuaplanning.co.jp/,35.664214500000000,139.874972300000000
訪問介護,江戸川区,13123,ホームヘルプサービス　ソラスト西葛西,株式会社ソラスト,営利法人,1372308971,東京都江戸川区西葛西６－９－１８トリヴァンベール１０１,03-6661-4333,2017-03-01,,平日・土曜日・日曜日・祝日,,https://www.solasto.co.jp/,35.663259300000000,139.857912200000000
訪問介護,江戸川区,13123,ケアリッツ瑞江,株式会社ケアリッツ・アンド・パートナーズ,営利法人,1372309326,東京都江戸川区東瑞江１－２２－１１ロイヤルエステート２０７,03-5879-8630,2018-01-01,,平日・土曜日・日曜日・祝日,,https://www.careritz.co.jp/station/branch/mizue/,35.690446144246906,139.898830177944550
訪問介護,江戸川区,13123,たけのこ介護サービス　平井,株式会社ライコム・コーポレーション,営利法人,1372309409,東京都江戸川区平井５－１０－７サンセイハイツ１－Ｂ,03-6657-4827,2018-04-01,,平日・土曜日・日曜日・祝日,60,http://raycom.co.jp,35.706284623770160,139.840649489591210
訪問介護,江戸川区,13123,ケア２１　一之江,株式会社ケア２１,営利法人,1372309706,東京都江戸川区一之江５－１６－１３一之江５丁目事務所１階,03-5607-7050,2018-10-01,,平日・土曜日・日曜日・祝日,5,http://www.care21.co.jp/,35.695833900000000,139.882028300000000
訪問介護,江戸川区,13123,おおきなき江戸川,株式会社日本エルダリーケアサービス,営利法人,1372309847,東京都江戸川区船堀１－６－３カーサマジカル船堀３０２号室,03-5676-5070,2019-04-01,,平日・土曜日・日曜日・祝日,,http://www.elderly.jp/map_list.php?id=5,35.685267300000000,139.863196600000040
訪問介護,江戸川区,13123,虹の会介護ステーション,社会福祉法人共慈会,社会福祉法人（社協以外）,1372309946,東京都江戸川区南葛西７－２－３,05038022817,2019-08-01,,平日・土曜日・日曜日・祝日,,https://www.kyojikai.org,35.647149800000000,139.881949699999950
訪問介護,江戸川区,13123,Ｒａｋｕｅ瑞江,ソラノニジ株式会社,営利法人,1372309995,東京都江戸川区東瑞江２－１０－１０レグルス瑞江Ｃ店舗,03-5664-6332,2019-10-01,,平日・土曜日・日曜日・祝日,,,35.688026400000000,139.894074999999930
訪問介護,江戸川区,13123,ともいきケア一之江,株式会社ともいきケア,営利法人,1372310068,東京都江戸川区一之江７－６６－１イーストイン１階,03-5662-4479,2019-12-01,,平日・土曜日・祝日,,http://tomoikicare.com/,35.683354600000000,139.877043200000000
訪問介護,江戸川区,13123,ケアサービス心音,医療法人社団圭信会,医療法人,1372310175,東京都江戸川区平井３－１０－１２平井町ビル２階,03-5858-9495,2020-04-01,,平日・土曜日・日曜日・祝日,,https://www.kokone-kaigo.jp/,35.704305900000010,139.841514400000000
訪問介護,江戸川区,13123,ケアリッツ船堀,株式会社ケアリッツ・アンド・パートナーズ,営利法人,1372310225,東京都江戸川区船堀１－４－１０第２乙女屋マンション３０４,03-6663-8260,2020-05-01,,平日・土曜日・日曜日・祝日,,https://www.careritz.co.jp/station/branch/funabori/,35.686246200000000,139.864560100000000
訪問介護,江戸川区,13123,エールハート小岩,株式会社中央ケアサービス,営利法人,1372310464,東京都江戸川区西小岩４－１３－１７Ｙ’Ｓフラット,03-6801-7635,2021-02-01,,平日・土曜日・日曜日・祝日,,http://www.carepage.net,35.737098200000000,139.881889300000000
訪問介護,江戸川区,13123,ケアリッツ東葛西,株式会社ケアリッツ・アンド・パートナーズ,営利法人,1372310522,東京都江戸川区東葛西５－３７－１１エレガンス１０２,03-5878-1730,2021-04-01,,平日・土曜日・日曜日・祝日,,https://www.careritz.co.jp/station/branch/higashikasai/,35.663562811552480,139.878742908213500
訪問介護,江戸川区,13123,江戸川あやとり地域福祉事業所,労働者協同組合ワーカーズコープ・センター事業団,その他法人,1372310670,東京都江戸川区松島４－２８－３アザレハイツ２０２号室,03-5879-4635,2021-10-01,,平日・土曜日・日曜日・祝日,,https://jwcu-coop-ayatori.jimdosite.com/,35.712555800000004,139.858436200000000
訪問介護,江戸川区,13123,もっちケアサービス,ＢＩＧ　ＵＰ株式会社,営利法人,1372310779,東京都江戸川区瑞江１－３６－１０セイントストークマンション２０６号室,03-6638-9430,2022-01-01,,平日・土曜日・日曜日・祝日,,,35.698114100000010,139.899489700000000
訪問介護,江戸川区,13123,アプローズ・ケア小岩店,合同会社江戸hana,営利法人,1372310795,東京都江戸川区西小岩４－３－２茶乃木コーポラス２０１号,03-5876-7044,2022-01-01,,,,,,
訪問介護,江戸川区,13123,土屋訪問介護事業所　江戸川センター,株式会社ＮｅｘｔＳｔａｇｅ,営利法人,1372310852,東京都江戸川区東小松川１－１０－３１矢作壮１０１,03-6782-3480,2022-05-01,,,,,,
訪問介護,江戸川区,13123,ヘルパーステーションえどがわ,株式会社ナーシングホーム,営利法人,1372311033,東京都江戸川区南篠崎町１－２３－６,03-6808-4773,2023-02-01,,平日,,https://nursing-home.co.jp/nh/minamishinozakimachi/,35.695162800000000,139.907534700000000
訪問介護,江戸川区,13123,ケアフレンズ,合同会社ブルーフェザー,営利法人,1372311082,東京都江戸川区瑞江２－１７－９グランドハイツ１０１号室,03-6638-7839,2023-04-01,,平日,,,35.695128196357540,139.897072550926170
訪問介護,江戸川区,13123,ふくろう　ヘルパーステーション,株式会社ＴＲＡＮＳ－Ｉ,営利法人,1372311140,東京都江戸川区南篠崎町３－６－３シャルム眞木　１階,03-6824-7552,2023-08-01,,,,,,
訪問介護,江戸川区,13123,ケアリッツ鹿骨,株式会社ケアリッツ・アンド・パートナーズ,営利法人,1372311199,東京都江戸川区鹿骨２－１０－１１中川事務所１階,03-5879-7698,2023-10-01,,平日・土曜日・日曜日・祝日,,https://www.careritz.co.jp/station/branch/shishibone/,35.706807194738786,139.893115975768950
訪問介護,江戸川区,13123,光輝訪問ケア,７７株式会社,営利法人,1372311298,東京都江戸川区西小岩１－３０－１１ハイホーム沖田３０５,03-5876-7404,2024-04-01,,,,,,
